23001504-suddenly-one-summer,"
      Suddenly One Summer
",Julie James,"
  3.84
","

  10,484
  ratings
","

    928
    reviews
","From the New York Times bestselling author of It Happened One Wedding comes a novel about a man and a woman whose summer is about to get very, very steamy…Divorce lawyer Victoria Slade has seen enough unhappy endings to swear off marriage forever. That doesn't mean she's opposed to casual dating—just not with her cocky new neighbor, who is as gorgeous and tempting as he is off-limits. But once she agrees to take on his sister's case, she's as determined to win as ever—even if that means teaming up with Ford…Investigative journalist Ford Dixon is bent on finding the man who got his sister pregnant and left her high and dry. He's willing to partner with Victoria, despite the fact that the beautiful brunette gets under his skin like no other woman. He might not be looking to settle down, but there's no denying the scorching attraction between them. Still, the more time he spends with Victoria, the more he realizes that the one woman as skeptical about love as he is might be the only woman he could really fall for…",0425273768,9780425273760),Mass Market Paperback,,291 pages,"
            Published
        June 2nd 2015
         by Jove

      ","['Romance', 'Romance', 'Contemporary Romance', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult']"
22909327-limitless,"
      Limitless
",Robert J. Crane,"
  4.27
","

  2,051
  ratings
","

    72
    reviews
","Two years after the explosive Girl in the Box Series ends, Sienna Nealon is called to London, England, where she is drawn into a murder investigation involving an old friend. Paired up with a young, handsome Detective Inspector, she finds herself in a race against time to unravel the mystery surrounding the murder as victim after victim falls to the careful, clever killer. Soon, Sienna is in a race against time to find the culprit before he sets loose a plan that will show Sienna the limits of her abilities in the most brutal way imaginable.  Her death.",,,Kindle Edition,,300 pages,"
            Published
        November 4th 2014
         by Revelen Press

      ","['Fantasy', 'Urban Fantasy', 'Fantasy', 'Fantasy', 'Paranormal', 'Fiction']"
12596223-jurassic-park,"
      Jurassic Park
",Michael Crichton,"
  4.01
","

  743,784
  ratings
","

    10,822
    reviews
","Alternate cover edition for ISBN 0099282917On a remote jungle island, genetic engineers have created a dinosaur game park.An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now one of mankind's most thrilling fantasies has come true and the first dinosaurs that the Earth has seen in the time of man emerge.But, as always, there is a dark side to the fantasy and after a catastrophe destroys the park's defense systems, the scientists and tourists are left fighting for survival...",,,Mass Market Paperback,,400 pages,"
            Published
        1991
         by Random House

            
              (first published November 7th 1990)
            
","['Science Fiction', 'Fiction', 'Thriller', 'Adventure', 'Fantasy']"
358494,"
      The Passion of Mary Magdalen
",Elizabeth Cunningham,"
  4.28
","

  1,011
  ratings
","

    117
    reviews
","For the millions of readers fascinated by Dan Brown's revelations about Mary Magdalen in The Da Vinci Code, here, at last, is their chance to meet the Gospel's most provocative woman face to face-on her own terms.Make way for a new Magdalen. Born on a Celtic isle to eight warrior-witch mothers, Maeve is raised to be as brave as any hero. In her stubborn, enchanting voice, she recounts her perilous quest for the young man, Esus, whose life she once saved from druid sacrifice. Captured and sold to a Roman Madam, Maeve is sustained by a fierce sense of identity, compassion for her sister whores, and her unquenchable love. When she wins her freedom and finds her lost lover, a stormy life begins for both as we follow the Passion story through the eyes of Jesus's partner. By turns feisty and funny, outrageous and tender, this Celtic Mary Magdalen challenges all stereotypes, both old and New Age, and brings us to transforming encounter with the divine feminine made flesh.",0976684330,9780976684336),Paperback,,640 pages,"
            Published
        May 1st 2007
         by Monkfish Book Publishing

            
              (first published 2006)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Religion', 'Fantasy', 'Romance', 'Historical']"
35458732-close-to-home,"
      Close to Home
",Cara Hunter,"
  4.04
","

  21,389
  ratings
","

    1,441
    reviews
","They know who did it. Perhaps not consciously. Perhaps not yet. But they know. When eight-year-old Daisy Mason vanishes from her family’s Oxford home during a costume party, Detective Inspector Adam Fawley knows that nine times out of ten, the offender is someone close to home. And Daisy’s family is certainly strange—her mother is obsessed with keeping up appearances, while her father is cold and defensive under questioning. And then there’s Daisy’s little brother, so withdrawn and uncommunicative . . .  DI Fawley works against the clock to find any trace of the little girl, but it’s as if she disappeared into thin air—no one saw anything; no one knows anything. But everyone has an opinion, and everyone, it seems, has a secret to conceal.",0143131052,9780143131052),Paperback,,292 pages,"
            Published
        March 6th 2018
         by Penguin Books

      ","['Mystery', 'Mystery', 'Crime', 'Thriller', 'Fiction', 'Thriller', 'Mystery Thriller']"
32193050-scritti-politici,"
      Scritti Politici
",Antonio Gramsci,"
  5.00
","

  1
  rating
","

    0
    reviews
","La costruzione di nuovi strumenti autonomi delle masse resta, non meno di prima, dal 1921 al 1926 il motivo principale, il vero filo rosso del pensiero e dell'azione politica di Gramsci, in due direzioni che sono la diretta espressione dell'elaborazione ordinovista ma anche il segno del suo sviluppo: quella di costruire un partito nuovo, nuovo nella sua natura oltre che nella sua collocazione strategica e tattica, e quella di un'organizzazione che parta dai luoghi di produzione. Mentre nel campo internazionale si accresce la sua esperienza con il soggiorno a Mosca e a Vienna, nella costruzione del partito, condotta nel vivo della lotta antifascista, si afferma la sua linea con le Tesi di Lione, che concludono questo volume.",,,Paperback,,305 pages,"
            Published
        April 1973
         by Editori Riuniti

      ",[]
9720878-l-ordine-della-spada,"
      L'Ordine della spada
",Virginia De Winter,"
  4.03
","

  726
  ratings
","

    123
    reviews
","Chi è Eloise Weiss? Perché il più antico vampiro della stirpe di Blackmore abbandona per lei l’eternità suscitando le ire di Axel Vandemberg, glaciale Princeps dello Studium e tormentato amore della giovane? La Vecchia Capitale si prepara alla Vigilia di Ognissanti e il coprifuoco è vicino perché il Presidio sta per aprire le sue porte. Il lento salmodiare delle orde di penitenti che si riversano per le vie, in cerca di anime da punire, è il segnale per gli abitanti di affrettarsi nelle proprie case, ma per Eloise Weiss è già troppo tardi. Scambiata per una vampira, cade vittima dell’irrazionalità di una fede che brucia ogni cosa al suo passaggio. In fin di vita esala una richiesta d’aiuto che giunge alle soglie della tomba dove Ashton Blackmore, un redivivo secolare, riposa protetto dalle ombre della Cattedrale di Black Friars. Il richiamo della ragazza è un sussurro che si trasforma in ordine, irrompe nella sua mente e lo riporta alla vita. Nobili vampiri di vecchie casate, spiriti reclusi e guerrieri, eroici umani e passioni che il tempo non è riuscito a cancellare: Black Friars – L’ordine della Spada è un mondo nuovo che profuma di antico, un romanzo che si ammanta di gotico per condurre il lettore tra i vicoli della Vecchia Capitale o negli antri del Presidio, in un viaggio che continua oltre la carta e non finisce con l’ultima pagina.",8876250794,9788876250798),Hardcover,Lain #73,682 pages,"
            Published
        July 16th 2010
         by Fazi

            
              (first published 2010)
            
","['Fantasy', 'Paranormal', 'Vampires', 'Romance', 'Fantasy', 'Urban Fantasy']"
28683333-persuasion,"
      Persuasion
",Jane Austen,"
  4.14
","

  477,565
  ratings
","

    15,971
    reviews
","Twenty-seven-year old Anne Elliot is Austen's most adult heroine. Eight years before the story proper begins, she is happily betrothed to a naval officer, Frederick Wentworth, but she precipitously breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret. When later Wentworth returns from sea a rich and successful captain, he finds Anne's family on the brink of financial ruin and his own sister a tenant in Kellynch Hall, the Elliot estate. All the tension of the novel revolves around one question: Will Anne and Wentworth be reunited in their love?",,,Kindle Edition,,173 pages,"
            Published
        January 13th 2016
         by Centaur

            
              (first published December 1818)
            
","['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Literature', 'Historical', 'Literature', '19th Century', 'European Literature', 'British Literature', 'Classics', 'Classic Literature', 'Romance', 'Historical Romance']"
2255680,"
      Ficciones
",Jorge Luis Borges,"
  4.45
","

  43,436
  ratings
","

    2,100
    reviews
","Ficciones es quizá el libro más famoso de Jorge Luis Borges. Con él obtuvo en 1961 el importante Premio Formentor otorgado por editores de Alemania, España, Estados Unidos, Francia, Inglaterra e Italia. Obra imprescindible en la literatura contemporánea, sus cuentos pertenecen a la categoría de las páginas antológicas. La primera parte, El jardín de senderos que se bifurcan (1941), reune el relato policial del mismo nombre, dos notas sobre libros imaginarios: ""Tlon, Uqbar, Orbis Tertius"" y ""Examen de la obra de Herbert Quain"", y cuatro cuentos de índole fantástica: ""Pierre Menard, autor del Quijote"", ""Las ruinas circulares"", ""La lotería en Babilonia y La biblioteca de Babel. En la segunda parte, Artificios (1944), se incluyen, entre otros, ""La muerte y la brújula, de corte filosófico-policial; ""Funes el memorioso"", metáfora sobre el insomnio; ""Tema del traidor y del héroe, acerca de un mismo destino que pierde y que redime; y El Sur, cuento preferido del autor.",8420666564,9788420666563),Hardcover,,234 pages,"
            Published
        May 17th 2006
         by Alianza Editorial, S.A.

            
              (first published 1944)
            
","['Fiction', 'Short Stories', 'Classics', 'Magical Realism', 'Literature', 'Fantasy']"
13322759-north-and-south,"
      North and South
",Elizabeth Gaskell,"
  4.14
","

  130,229
  ratings
","

    6,610
    reviews
","‘But the cloud never comes in that quarter of the horizon from which we watch for it.’When Margaret Hale is uprooted from Hampshire and moves to the industrial town of Milton in the North of England, her whole world changes. As her sympathy for the town’s mill workers grows, her sense of social injustice piques and she passionately fights their corner. However, just as she disputes the mill owner, John Thornton’s treatment of his workers, she cannot deny her growing attraction to him. Highlighting the changing landscape of nineteenth-century Britain and championing the role of women in Victorian society, Gaskell brilliantly captures the lives of ordinary people through one of her strongest female characters in literature.",0007902255,9780007902255),Paperback,Collins Classics,565 pages,"
            Published
        October 1st 2011
         by HarperPress

            
              (first published January 1854)
            
","['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Historical', 'Literature', '19th Century', 'Historical', 'Victorian', 'Literature', 'European Literature', 'British Literature', 'Romance', 'Historical Romance']"
5637371-ramayana,"
      Ramayana
",Vālmīki,"
  4.11
","

  5,998
  ratings
","

    238
    reviews
","The great Indian epic rendered in modern proseIndia's most beloved and enduring legend, the Ramayana is widely acknowledged to be one of the world's great literary masterpieces. Still an integral part of India's cultural and religious expression, the Ramayana was originally composed by the Sanskrit poet Valmiki around 300 b.c. The epic of Prince Rama's betrayal, exile, and struggle to rescue his faithful wife, Sita, from the clutches of a demon and to reclaim his throne has profoundly affected the literature, art, and culture of South and Southeast Asia-an influence most likely unparalleled in the history of world literature, except, possibly, for the Bible. Throughout the centuries, countless versions of the epic have been produced in numerous formats and languages. But previous English versions have been either too short to capture the magnitude of the original; too secular in presenting what is, in effect, scripture; or dry, line-by-line translations. Now novelist Ramesh Menon has rendered the tale in lyrical prose that conveys all the beauty and excitement of the original, while making this spiritual and literary classic accessible to a new generation of readers.",8172764065,9788172764067),,,,,"['Classics', 'Fantasy', 'Mythology', 'Religion', 'Cultural', 'India', 'Poetry', 'Fiction']"
33790205-win,"
      Win
",Vera Nazarian,"
  4.47
","

  2,036
  ratings
","

    232
    reviews
","The Games are Forever!It’s one thing to Qualify and Compete…Now she must Win.Gwen Lark, nerd, geek, and awkward smart girl, is among the lucky ones. She’s one of several million teenage refugees to escape the extinction-level asteroid barreling towards Earth and reach the ancient colony planet of Atlantis.But Atlantis is a strange new world with higher gravity and a blazing white sun, where nothing is as expected. The new arrivals from Earth will now belong to the majority class of non-citizens who face a lifetime of hard work and limited rights.To make matters worse, Gwen’s rare and powerful talent, her Logos voice, is viewed as a potential weapon to be exploited by the Imperator, as well as a threat to the Kassiopei Imperial Dynasty and its uncompromising control over the people of Atlantis.A last-minute heartbreak prior to arrival turns to joy, when Gwen receives a declaration of love from an unexpected source. The Wedding date is set, but before she can be joined with her true love, she is forced to compete in the brutal and deadly Games of the Atlantis Grail to save herself, her family, friends, and everything she cares about. Once again, her intelligence, quick thinking skills, resilience, and creativity are challenged to the breaking point.The Games are monumental, intricate, lethal . . . and the Games are Forever.This time Gwen must fight and figure her way through the most difficult and sophisticated contest she has ever faced. Terrifying Ordeals and impossible Challenges, ruthless skilled Competitors, vicious secret assassins, and dubious teammates she must work with but cannot trust, are just the beginning. . . .Meanwhile, as the Games rage, the fate of two worlds is at stake as a new alien threat looms over Earth and Atlantis.But Gwen Lark has a secret weapon of her own. It’s not her Logos voice and its untapped power to control orichalcum technology and perpetuate change.It is Gwen herself.WIN is the third book in The Atlantis Grail series.",,,ebook,,949 pages,"
            Published
        July 11th 2017
         by Norilana Books

      ","['Science Fiction', 'Fantasy', 'Young Adult', 'Science Fiction', 'Dystopia', 'Romance']"
34848819-obama,"
      Obama: An Intimate Portrait: The Historic Presidency in Photographs
",Pete Souza,"
  4.24
","

  8,617
  ratings
","

    666
    reviews
","This is the definitive visual biography of Barack Obama's presidency, captured in intimate, unprecedented detail by his official White House photographer.Pete Souza began photographing President Obama on his first day as a U.S. senator, in January 2005, and served as the chief official White House photographer for the President's full two terms. Souza was with President Obama more often, and at more crucial moments, than any friend or staff member, or even the First Lady--and he photographed it all. Souza captured nearly 2 million photographs of Obama, in moments ranging from classified to disarmingly candid.This large-format (12""x10""), exquisitely produced book presents more than 300 of Souza's favorite and most iconic images from these historic years; many have never been seen before. This seminal work on the Obama presidency documents moments of national importance--including the historic image of the President and his advisors watching tensely in the Situation Room as the Bin Laden mission unfolded--alongside unguarded moments with the President's family, his many encounters with children, and his time spent interacting with world leaders, members of Congress, White House staff, artists, musicians and more.The photographs are paired with captions and stories providing behind-the-scenes context for each, and offer insight into the special relationship Souza and the President forged during their time together. The result is a stunning record of a landmark era in American history.Souza's work enabled us to feel that we knew the President. This book puts us in the White House with him.",0316512583,9780316512589),Hardcover,,368 pages,"
            Published
        November 7th 2017
         by Little, Brown and Company

            
              (first published 2017)
            
","['Nonfiction', 'Art', 'Photography', 'Politics', 'History', 'Biography', 'Art']"
20564091,"
      فلسفه و معنای زندگی
",محمّد آزاده,"
  4.40
","

  5
  ratings
","

    2
    reviews
",,,,,,,,"['Philosophy', 'Unfinished']"
22883285,"
      مرگ
",Todd May,"
  3.74
","

  311
  ratings
","

    57
    reviews
",‏«مرگ» ششمین مجلد از مجموعه‌ی «تجربه و هنر زندگی» نشر گمان است. متن این کتاب به مسایل مربوط به تاثیر مرگ بر ذهن و روح بشر پرداخته و سرفصل‌های «کنار آمدن با مرگ»، «مرگ و نامیرایی»، «زیستن با مرگ» و در پایان مطالبی برای بررسی بیشتر را مطرح کرده است. در بخشی از توضیح کتاب آمده است: «ساده‌ترین و معمولی‌ترین راه خلاص شدن از کابوس مرگ، فکر نکردن به آن است. شبیه آن غژغژ ضعیفی است که گاهی از ماشین‌مان می‌شنویم... اما مرگ را نه می‌توان علاج کرد و نه کنترل. خیره‌شدن به پرده نمایش در آن بالا، مانع از افتادنش نمی‌شود. فکرکردنِ مدام به مرگ، به امیدِ دفع خطر آن، مثل کار آدم‌های وسواسی است که دایما دست‌های‌شان را می‌شویند. آنها همیشه احساس می‌کنند کثیف و ناپاکند و امیدوارند که شستن و آب‌کشیدنِ کافی تهدید آلودگی را برطرف کند. اما میکروب هم مانند مرگ، همیشه با ماست. هیچ مناسک و آدابی نیست که تهدیدِ آنها را رفع کند، یا چیزی که به ما اطمینان بدهد فاصله‌ای میان ما و آنها وجود دارد.»‏‏,,,Paperback,,196 pages,"
            Published
        May 14th 2014
         by گمان

            
              (first published January 1st 2009)
            
","['Philosophy', 'Nonfiction', 'Death', 'Psychology']"
276123,"
      بامداد خمار
",فتانه حاج سیدجوادی,"
  3.00
","

  4,966
  ratings
","

    214
    reviews
",,,,Paperback,چاپ دوم,440 pages,"
            Published
        1995
         by نشر البرز

            
              (first published 1994)
            
","['Novels', 'Romance', 'Fiction', 'Cultural', 'Iran', 'Literature', 'Roman']"
34326424-godsgrave,"
      Godsgrave
",Jay Kristoff,"
  4.59
","

  16,264
  ratings
","

    3,269
    reviews
","A ruthless young assassin continues her journey for revenge in this new epic fantasy from New York Times bestselling author Jay Kristoff.Assassin Mia Corvere has found her place among the Blades of Our Lady of Blessed Murder, but many in the Red Church ministry think she’s far from earned it. Plying her bloody trade in a backwater of the Republic, she’s no closer to ending Consul Scaeva and Cardinal Duomo, or avenging her familia. And after a deadly confrontation with an old enemy, Mia begins to suspect the motives of the Red Church itself.When it’s announced that Scaeva and Duomo will be making a rare public appearance at the conclusion of the grand games in Godsgrave, Mia defies the Church and sells herself to a gladiatorial collegium for a chance to finally end them. Upon the sands of the arena, Mia finds new allies, bitter rivals, and more questions about her strange affinity for the shadows. But as conspiracies unfold within the collegium walls, and the body count rises, Mia will be forced to choose between loyalty and revenge, and uncover a secret that could change the very face of her world.Set in the world of Nevernight, which Publishers Weekly called “absorbing in its complexity and bold in its bloodiness,” Godsgrave will continue to thrill and satisfy fantasy fans everywhere.",,,Kindle Edition,,448 pages,"
            Published
        September 5th 2017
         by St. Martin's Press

      ","['Fantasy', 'Young Adult', 'New Adult']"
